time_days,layer,i,j,pressure_psia,sw,sg
0.100000,1,7,3,4783.908567,0.200000,0.000000
0.100000,1,8,3,4783.908842,0.200000,0.000000
0.100000,1,9,3,4783.908376,0.200000,0.000000
0.100000,1,10,3,4783.908783,0.200000,0.000000
0.100000,1,1,4,4783.908654,0.200000,0.000000
0.100000,1,2,4,4783.908656,0.200000,0.000000
0.100000,1,3,4,4783.908660,0.200000,0.000000
0.100000,1,4,4,4783.908653,0.200000,0.000000
0.100000,1,5,4,4783.908681,0.200000,0.000000
0.100000,1,6,4,4783.908508,0.200000,0.000000
0.100000,1,7,4,4783.909121,0.200000,0.000000
0.100000,1,8,4,4783.907613,0.200000,0.000000
0.100000,1,9,4,4783.909890,0.200000,0.000000
0.100000,1,10,4,4783.908141,0.200000,0.000000
0.100000,1,1,5,4783.908645,0.200000,0.000000
0.100000,1,2,5,4783.908651,0.200000,0.000000
0.100000,1,3,5,4783.908649,0.200000,0.000000
0.100000,1,4,5,4783.908681,0.200000,0.000000
0.100000,1,5,5,4783.908480,0.200000,0.000000
0.100000,1,6,5,4783.909370,0.200000,0.000000
0.100000,1,7,5,4783.906488,0.200000,0.000000
0.100000,1,8,5,4783.912832,0.200000,0.000000
0.100000,1,9,5,4783.904219,0.200000,0.000000
0.100000,1,10,5,4783.910032,0.200000,0.000000
0.100000,1,1,6,4783.908645,0.200000,0.000000
0.100000,1,2,6,4783.908645,0.200000,0.000000
0.100000,1,3,6,4783.908670,0.200000,0.000000
0.100000,1,4,6,4783.908508,0.200000,0.000000
0.100000,1,5,6,4783.909370,0.200000,0.000000
0.100000,1,6,6,4783.905914,0.200000,0.000000
0.100000,1,7,6,4783.915947,0.200000,0.000000
0.100000,1,8,6,4783.895978,0.200000,0.000000
0.100000,1,9,6,4783.920350,0.200000,0.000001
0.100000,1,10,6,4783.905670,0.200000,0.000000
0.100000,1,1,7,4783.908644,0.200000,0.000000
0.100000,1,2,7,4783.908657,0.200000,0.000000
0.100000,1,3,7,4783.908567,0.200000,0.000000
0.100000,1,4,7,4783.909121,0.200000,0.000000
0.100000,1,5,7,4783.906488,0.200000,0.000000
0.100000,1,6,7,4783.915947,0.200000,0.000000
0.100000,1,7,7,4783.891127,0.200000,0.000000
0.100000,1,8,7,4783.935733,0.200000,0.000001
0.100000,1,9,7,4783.885756,0.200000,0.000000
0.100000,1,10,7,4783.907410,0.200000,0.000000
0.100000,1,1,8,4783.908649,0.200000,0.000000
0.100000,1,2,8,4783.908617,0.200000,0.000000
0.100000,1,3,8,4783.908842,0.200000,0.000000
0.100000,1,4,8,4783.907613,0.200000,0.000000
0.100000,1,5,8,4783.912832,0.200000,0.000000
0.100000,1,6,8,4783.895978,0.200000,0.000000
0.100000,1,7,8,4783.935733,0.200000,0.000001
0.100000,1,8,8,4783.869895,0.200000,0.000000
0.100000,1,9,8,4783.922062,0.200000,0.000001
0.100000,1,10,8,4783.812450,0.200000,0.000000
0.100000,1,1,9,4783.908639,0.200000,0.000000
0.100000,1,2,9,4783.908692,0.200000,0.000000
0.100000,1,3,9,4783.908376,0.200000,0.000000
0.100000,1,4,9,4783.909890,0.200000,0.000000
0.100000,1,5,9,4783.904219,0.200000,0.000000
0.100000,1,6,9,4783.920350,0.200000,0.000001
0.100000,1,7,9,4783.885756,0.200000,0.000000
0.100000,1,8,9,4783.922062,0.200000,0.000001
0.100000,1,9,9,4783.714436,0.200000,0.000000
0.100000,1,10,9,4782.001808,0.200002,0.000000
0.100000,1,1,10,4783.908651,0.200000,0.000000
0.100000,1,2,10,4783.908617,0.200000,0.000000
0.100000,1,3,10,4783.908783,0.200000,0.000000
0.100000,1,4,10,4783.908141,0.200000,0.000000
0.100000,1,5,10,4783.910032,0.200000,0.000000
0.100000,1,6,10,4783.905670,0.200000,0.000000
0.100000,1,7,10,4783.907410,0.200000,0.000000
0.100000,1,8,10,4783.812450,0.200000,0.000000
0.100000,1,9,10,4782.001808,0.200002,0.000000
0.100000,1,10,10,4747.915341,0.200043,0.000002
0.100000,2,1,1,4790.291306,0.200000,0.000000
0.100000,2,2,1,4790.214672,0.200000,0.000000
0.100000,2,3,1,4790.210915,0.200000,0.000000
0.100000,2,4,1,4790.210731,0.200000,0.000000
0.100000,2,5,1,4790.210722,0.200000,0.000000
0.100000,2,6,1,4790.210722,0.200000,0.000000
0.100000,2,7,1,4790.210721,0.200000,0.000000
0.100000,2,8,1,4790.210726,0.200000,0.000000
0.100000,2,9,1,4790.210716,0.200000,0.000000
0.100000,2,10,1,4790.210727,0.200000,0.000000
0.100000,2,1,2,4790.214672,0.200000,0.000000
0.100000,2,2,2,4790.211100,0.200000,0.000000
0.100000,2,3,2,4790.210760,0.200000,0.000000
0.100000,2,4,2,4790.210732,0.200000,0.000000
0.100000,2,5,2,4790.210727,0.200000,0.000000
0.100000,2,6,2,4790.210722,0.200000,0.000000
0.100000,2,7,2,4790.210733,0.200000,0.000000
0.100000,2,8,2,4790.210695,0.200000,0.000000
0.100000,2,9,2,4790.210767,0.200000,0.000000
0.100000,2,10,2,4790.210695,0.200000,0.000000
0.100000,2,1,3,4790.210915,0.200000,0.000000
0.100000,2,2,3,4790.210760,0.200000,0.000000
0.100000,2,3,3,4790.210742,0.200000,0.000000
0.100000,2,4,3,4790.210737,0.200000,0.000000
0.100000,2,5,3,4790.210726,0.200000,0.000000
0.100000,2,6,3,4790.210746,0.200000,0.000000
0.100000,2,7,3,4790.210647,0.200000,0.000000
0.100000,2,8,3,4790.210913,0.200000,0.000000
0.100000,2,9,3,4790.210462,0.200000,0.000000
0.100000,2,10,3,4790.210855,0.200000,0.000000
0.100000,2,1,4,4790.210731,0.200000,0.000000
0.100000,2,2,4,4790.210732,0.200000,0.000000
0.100000,2,3,4,4790.210737,0.200000,0.000000
0.100000,2,4,4,4790.210729,0.200000,0.000000
0.100000,2,5,4,4790.210757,0.200000,0.000000
0.100000,2,6,4,4790.210589,0.200000,0.000000
0.100000,2,7,4,4790.211182,0.200000,0.000000
0.100000,2,8,4,4790.209725,0.200000,0.000000
0.100000,2,9,4,4790.211924,0.200000,0.000000
0.100000,2,10,4,4790.210235,0.200000,0.000000
0.100000,2,1,5,4790.210722,0.200000,0.000000
0.100000,2,2,5,4790.210727,0.200000,0.000000
0.100000,2,3,5,4790.210726,0.200000,0.000000
0.100000,2,4,5,4790.210757,0.200000,0.000000
0.100000,2,5,5,4790.210562,0.200000,0.000000
0.100000,2,6,5,4790.211422,0.200000,0.000000
0.100000,2,7,5,4790.208638,0.200000,0.000000
0.100000,2,8,5,4790.214766,0.200000,0.000000
0.100000,2,9,5,4790.206447,0.200000,0.000000
0.100000,2,10,5,4790.212061,0.200000,0.000000
0.100000,2,1,6,4790.210722,0.200000,0.000000
0.100000,2,2,6,4790.210722,0.200000,0.000000
0.100000,2,3,6,4790.210746,0.200000,0.000000
0.100000,2,4,6,4790.210589,0.200000,0.000000
0.100000,2,5,6,4790.211422,0.200000,0.000000
0.100000,2,6,6,4790.208084,0.200000,0.000000
0.100000,2,7,6,4790.217774,0.200000,0.000000
0.100000,2,8,6,4790.198488,0.200000,0.000000
0.100000,2,9,6,4790.222026,0.200000,0.000000
0.100000,2,10,6,4790.207848,0.200000,0.000000
0.100000,2,1,7,4790.210721,0.200000,0.000000
